sample	gene	is_target_pos	n_segments	copy_ratio	confidence
A269010009	NBN	FALSE	17	0.991999507342578	0.358727172858365
A269010009	NTRK1	FALSE	8	0.998484924494983	0.343243233882567
A269010009	CCND1	FALSE	5	1.00941233370112	0.268658959957534
A269010010	PTEN	FALSE	9	1.03862032337366	0.543660854233157
A269010010	NBN	FALSE	17	0.989707427349361	0.524809707961854
A269010010	FGFR3	FALSE	16	1.00587013407961	0.492854056779444
A269010010	GATA3	FALSE	7	0.970335939089642	0.491356754930699
A269010010	MET	FALSE	25	1.00064643643714	0.457936880704834
A269010010	DDR2	FALSE	7	1.03682700690469	0.450815438398077
A269010010	CREBBP	FALSE	45	0.996831917543819	0.45002152455646
A269010010	MDM2	FALSE	13	1.02016444987982	0.433873746667795
A269010010	ERBB2	FALSE	27	1.00237563768775	0.415418302192751
A269010010	Other	FALSE	1376	1.00549829423136	0.391176060838336
A269010010	TSC2	FALSE	42	0.99773369374553	0.378114650952851
A269010010	EGFR	FALSE	29	1.01097690413336	0.3693060193264
A269010010	CCND1	FALSE	5	1.0402292351424	0.351414886541501
A269010010	NTRK1	FALSE	8	1.01786536485051	0.34004775520478
A269010010	RET	FALSE	12	1.00206047550287	0.29898401911498
A269010010	CDK4	FALSE	7	0.987000910194774	0.187052888467486
A269010011	MDM2	FALSE	13	1.02020221131745	0.600907738473897
A269010011	Other	FALSE	1376	0.997220765649202	0.496207258203215
A269010011	CDK4	FALSE	7	1.00716023679045	0.457969586865365
A269010011	DDR2	FALSE	7	1.02684104335783	0.456232144328018
A269010011	MET	FALSE	25	0.988930355090464	0.442649163687424
A269010011	NTRK1	FALSE	8	1.01648263168339	0.408766721261697
A269010011	TSC2	FALSE	42	0.998122440481678	0.388431660302289
A269010011	EGFR	FALSE	29	1.01666708723352	0.375224335036431
A269010011	ERBB2	FALSE	27	0.999421560878215	0.370737897956127
A269010011	PTEN	FALSE	9	1.00500324414663	0.369331429444627
A269010011	FGFR3	FALSE	16	0.989855794027612	0.363903905419456
A269010011	CREBBP	FALSE	45	1.00594016704736	0.346944160754405
A269010011	RET	FALSE	12	0.992809862200605	0.306343648396276
A269010011	NBN	FALSE	17	0.997332339531868	0.262944930459137
A269010011	CCND1	FALSE	5	0.987079290530987	0.187546814750496
A269010011	GATA3	FALSE	7	1.01389716708533	0.143802381315155
