sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010002	NBN	TRUE	17	1.03493176708449	1.00711305398951	1.15173495809449	0.581204764249126	2.06986353416898	2.01422610797902	2.30346991618899	1.16240952849825	0.00280646604312132	2.55184020816523
A269010002	NTRK1	TRUE	8	0.777119025897219	0.779092162415011	0.821569047172797	0.71683759055972	1.55423805179444	1.55818432483002	1.64313809434559	1.43367518111944	0.000452730237607461	3.34416049824273
A269010002	Other	TRUE	282	1.01891969451887	1.06358823537719	2.26839686252647	0.401885157006687	2.03783938903773	2.12717647075437	4.53679372505294	0.803770314013374	1e-100	100
A269010002	PTEN	TRUE	9	1.10650608550976	1.20669679393562	1.71026962977422	1.00759305852611	2.21301217101951	2.41339358787125	3.42053925954844	2.01518611705223	4.16949759937129e-06	5.37991627187649
A269010002	RET	TRUE	12	1.03715154791788	1.07443114259778	1.3377847919102	0.984751287817576	2.07430309583576	2.14886228519556	2.67556958382039	1.96950257563515	0.0143083917261587	1.84440917851885
A269010002	TSC2	TRUE	4	1.10245362412705	1.11079230323989	1.21726880838045	1.02099315632501	2.20490724825411	2.22158460647978	2.4345376167609	2.04198631265003	0.00223996802867674	2.64975818035707
A269010003	CCND1	TRUE	5	0.923319917805159	0.909677276462678	0.974750834958864	0.814058286725326	1.84663983561032	1.81935455292536	1.94950166991773	1.62811657345065	0.00584863588650936	2.23294541529286
A269010003	CDK4	TRUE	7	1.76901447281156	1.79153012745326	2.01610455916664	1.67871187235071	3.53802894562311	3.58306025490653	4.03220911833327	3.35742374470141	0.0820219607442369	1.08606985306579
A269010003	CREBBP	TRUE	29	0.913485134396678	0.937418970000644	1.20528869391345	0.846791908172547	1.82697026879336	1.87483794000129	2.41057738782691	1.69358381634509	0.000112272807346616	3.94972541782004
A269010003	DDR2	TRUE	7	0.872021342035084	0.881848159213964	0.934197352102703	0.832127229860593	1.74404268407017	1.76369631842793	1.86839470420541	1.66425445972119	0.00659388919831299	2.18085835488252
A269010003	EGFR	TRUE	29	0.982307708765467	1.01459006437687	1.24349127611321	0.873540624961163	1.96461541753093	2.02918012875374	2.48698255222641	1.74708124992233	1.05231567201743e-16	15.9778539616552
A269010003	ERBB2	TRUE	21	0.87360757631028	0.840011098900728	0.981669793108851	0.539360219636176	1.74721515262056	1.68002219780146	1.9633395862177	1.07872043927235	2.34318825335925e-08	7.63019281848336
A269010003	FGFR3	TRUE	16	0.98009418356372	0.973011406244988	1.11542234382317	0.796401801508739	1.96018836712744	1.94602281248998	2.23084468764634	1.59280360301748	0.000204717672654374	3.6888446643967
