sample	is_MET_pos	seg_idx	gene	cn_rel	cn_abs	pval
A269010005	FALSE	1375	MET	1.11981023668763	2.23962047337526	0.179117393179698
A269010005	FALSE	1376	MET	0.988169505504969	1.97633901100994	0.648013535949483
A269010005	FALSE	1377	MET	0.928704066054302	1.8574081321086	0.32788377007848
A269010005	FALSE	1378	MET	1.00628434852092	2.01256869704183	0.8096097724122
A269010005	FALSE	1379	MET	0.974287593797888	1.94857518759578	0.386669366768137
A269010005	FALSE	1380	MET	1.0160164134717	2.0320328269434	0.683695659845237
A269010005	FALSE	1381	MET	1.01427180005829	2.02854360011659	0.614841678474893
A269010005	FALSE	1382	MET	0.994751630259004	1.98950326051801	0.815250860796593
A269010005	FALSE	1383	MET	0.937063535602889	1.87412707120578	0.16035651273641
A269010005	FALSE	1384	MET	0.972688444511674	1.94537688902335	0.463493043150912
A269010005	FALSE	1385	MET	1.00956620559925	2.01913241119849	0.816038140363259
A269010005	FALSE	1386	MET	0.987493862123728	1.97498772424746	0.80009269329588
A269010005	FALSE	1387	MET	1.00856780826683	2.01713561653367	0.855027360604282
A269010005	FALSE	1388	MET	1.00404041007975	2.0080808201595	0.907823228700492
A269010005	FALSE	1389	MET	1.00363583046738	2.00727166093475	0.900681859020176
A269010005	FALSE	1390	MET	1.00565478748776	2.01130957497553	0.807036468013857
A269010005	FALSE	1391	MET	0.997414192705538	1.99482838541108	0.866779384085137
A269010006	FALSE	1367	MET	1.00937971388483	2.01875942776966	0.87933889641327
A269010006	FALSE	1368	MET	1.0538710353963	2.10774207079261	0.559672170405362
A269010006	FALSE	1369	MET	1.01802510243247	2.03605020486495	0.849447809607367
A269010006	FALSE	1370	MET	0.96534374998549	1.93068749997098	0.707651830455582
A269010006	FALSE	1371	MET	0.984197828010923	1.96839565602185	0.814622352921857
A269010006	FALSE	1372	MET	0.972309677262262	1.94461935452452	0.644281370351771
A269010006	FALSE	1373	MET	1.02783593526503	2.05567187053005	0.541066102669989
A269010006	FALSE	1374	MET	0.95761450998569	1.91522901997138	0.183285600078378
A269010006	FALSE	1375	MET	1.08272066664703	2.16544133329406	0.337380855435211
A269010006	FALSE	1376	MET	0.967012801727609	1.93402560345522	0.193332644194522
A269010006	FALSE	1377	MET	1.04422977386769	2.08845954773537	0.589327857448409
A269010006	FALSE	1378	MET	0.9813453358408	1.9626906716816	0.463340171348491
A269010006	FALSE	1379	MET	1.02190608813136	2.04381217626272	0.481957918028205
A269010006	FALSE	1380	MET	0.978404180487641	1.95680836097528	0.568357175355021
A269010006	FALSE	1381	MET	0.947271351947034	1.89454270389407	0.0465337827094294
A269010006	FALSE	1382	MET	0.999630279604399	1.9992605592088	0.986931532336259
A269010006	FALSE	1383	MET	1.02128266799812	2.04256533599625	0.663136490891959
A269010006	FALSE	1384	MET	1.01287992503018	2.02575985006036	0.739882274576039
A269010006	FALSE	1385	MET	0.978625353534416	1.95725070706883	0.59178455080843
A269010006	FALSE	1386	MET	1.06631365577071	2.13262731154143	0.213690329856216
A269010006	FALSE	1387	MET	1.01758046816094	2.03516093632189	0.710204565039349
A269010006	FALSE	1388	MET	1.03399227415224	2.06798454830447	0.344205841645862
A269010006	FALSE	1389	MET	1.03994873131718	2.07989746263436	0.185715381660975
A269010006	FALSE	1390	MET	0.988251381057999	1.976502762116	0.605573358607612
A269010006	FALSE	1391	MET	0.980897519459462	1.96179503891892	0.207628134018176
A269010007	FALSE	1367	MET	0.993690958202496	1.98738191640499	0.917390171553893
A269010007	FALSE	1368	MET	0.961886064280437	1.92377212856087	0.651143689699064
A269010007	FALSE	1369	MET	0.979373208882464	1.95874641776493	0.82136136161931
A269010007	FALSE	1370	MET	0.969120746126109	1.93824149225222	0.739255912203545
A269010007	FALSE	1371	MET	0.998541359418299	1.9970827188366	0.982980886529439
A269010007	FALSE	1372	MET	0.983413695689969	1.96682739137994	0.784511329895986
A269010007	FALSE	1373	MET	1.02436516913641	2.04873033827281	0.591401839034569
A269010007	FALSE	1374	MET	1.03077427280092	2.06154854560184	0.369401951653586
A269010007	FALSE	1375	MET	0.991306210246941	1.98261242049388	0.912310985045507
A269010007	FALSE	1376	MET	1.0076038917764	2.0152077835528	0.773526701070468
