sample	is_target_pos	seg_idx	gene	cn_rel	cn_abs	pval
A269010002	FALSE	559	ERBB2	1.08407727533774	2.16815455067547	0.0812252197899054
A269010002	FALSE	560	ERBB2	0.975238161538865	1.95047632307773	0.231418541137865
A269010003	FALSE	534	ERBB2	0.992068333000473	1.98413666600095	0.946965856743241
A269010003	FALSE	535	ERBB2	1.02108750494473	2.04217500988946	0.622110055353479
A269010003	FALSE	536	ERBB2	0.973937021850428	1.94787404370086	0.234550737831693
A269010003	FALSE	537	ERBB2	0.994638809947317	1.98927761989463	0.951897799672099
A269010003	FALSE	538	ERBB2	0.980714094770592	1.96142818954118	0.682885375677427
A269010003	FALSE	539	ERBB2	1.00785486640687	2.01570973281373	0.851901991768018
A269010003	FALSE	540	ERBB2	1.00458498551229	2.00916997102459	0.857361563577291
A269010003	FALSE	541	ERBB2	1.01740065755706	2.03480131511411	0.808216043434215
A269010003	FALSE	542	ERBB2	0.986901297267176	1.97380259453435	0.613852322427238
A269010003	FALSE	543	ERBB2	1.01060550724344	2.02121101448687	0.88381793252552
A269010003	FALSE	544	ERBB2	1.01152350076421	2.02304700152841	0.372352208574523
A269010003	FALSE	545	ERBB2	0.998986562595011	1.99797312519002	0.987167888878212
A269010003	FALSE	546	ERBB2	1.01088844132664	2.02177688265328	0.710539037484137
A269010003	FALSE	547	ERBB2	1.03672389968415	2.0734477993683	0.537182432544517
A269010003	FALSE	548	ERBB2	1.00944865540154	2.01889731080309	0.930612841522356
A269010003	FALSE	549	ERBB2	1.01467097052878	2.02934194105757	0.536571166382487
A269010003	FALSE	550	ERBB2	0.996652349166213	1.99330469833243	0.826173805733589
A269010003	FALSE	551	ERBB2	1.00062955854344	2.00125911708689	0.989760275447188
A269010003	FALSE	552	ERBB2	1.01380803626521	2.02761607253041	0.890694304505206
A269010003	FALSE	553	ERBB2	1.01450990404832	2.02901980809665	0.754822906945592
A269010003	FALSE	554	ERBB2	0.989573494870011	1.97914698974002	0.166214839722209
A269010003	FALSE	555	ERBB2	1.0197661318936	2.03953226378719	0.770341165090209
A269010003	FALSE	556	ERBB2	1.03996790327253	2.07993580654506	0.343827872382372
A269010003	FALSE	557	ERBB2	1.00701337650255	2.0140267530051	0.793203487741188
A269010003	FALSE	558	ERBB2	1.00701993716465	2.01403987432929	0.914324858684931
A269010003	FALSE	559	ERBB2	0.985376875654475	1.97075375130895	0.738655076117836
A269010003	FALSE	560	ERBB2	1.00619362899718	2.01238725799437	0.77172256046885
A269010004	FALSE	534	ERBB2	0.944920290944564	1.88984058188913	0.627702089465708
A269010004	FALSE	535	ERBB2	1.00298322441968	2.00596644883936	0.943411147549626
A269010004	FALSE	536	ERBB2	0.993720522375655	1.98744104475131	0.778939297735758
A269010004	FALSE	537	ERBB2	1.01432112636028	2.02864225272057	0.874446182642038
A269010004	FALSE	538	ERBB2	0.976550404367737	1.95310080873547	0.61788833664589
A269010004	FALSE	539	ERBB2	1.00358382158591	2.00716764317182	0.93183071983191
A269010004	FALSE	540	ERBB2	0.9910854415121	1.9821708830242	0.723177613328959
A269010004	FALSE	541	ERBB2	1.01033744585416	2.02067489170831	0.884545949879565
A269010004	FALSE	542	ERBB2	0.979646585669606	1.95929317133921	0.429614767279944
A269010004	FALSE	543	ERBB2	1.01838419642746	2.03676839285491	0.801522562377676
A269010004	FALSE	544	ERBB2	0.996133996778125	1.99226799355625	0.761200272679871
A269010004	FALSE	545	ERBB2	1.02695824596559	2.05391649193119	0.677280306204275
A269010004	FALSE	546	ERBB2	0.995920608115629	1.99184121623126	0.887762734277105
A269010004	FALSE	547	ERBB2	0.98856819997329	1.97713639994658	0.84034817441842
A269010004	FALSE	548	ERBB2	1.03691781413558	2.07383562827115	0.740491637320675
A269010004	FALSE	549	ERBB2	0.975075849219513	1.95015169843903	0.274591467517898
A269010004	FALSE	550	ERBB2	0.990638154599879	1.98127630919976	0.536653773857229
A269010004	FALSE	551	ERBB2	0.968265823262697	1.93653164652539	0.50378642645371
A269010004	FALSE	552	ERBB2	1.02835917037929	2.05671834075859	0.78081782600154
A269010004	FALSE	553	ERBB2	1.03666457407009	2.07332914814017	0.439971392763
A269010004	FALSE	554	ERBB2	0.999756315785383	1.99951263157077	0.974449956487474
