sample	gene	is_target_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010002	NTRK1	FALSE	8	0.830150177730518	0.823192634298734	0.877844950344613	0.752433978061962	1.66030035546104	1.64638526859747	1.75568990068923	1.50486795612392	0.119296095709702	0.923373769569211
A269010002	Other	FALSE	281	1.00888262783642	1.19535562463944	44.6245386919603	0.658893612023786	2.01776525567284	2.39071124927889	89.2490773839205	1.31778722404757	0.0741684405769041	1.12978085211892
A269010002	PTEN	FALSE	9	1.08915786451717	1.1496048578599	1.41576365666557	1.0109065833665	2.17831572903435	2.2992097157198	2.83152731333114	2.02181316673299	0.0958503030441843	1.0184065097008
A269010002	RET	FALSE	12	1.08670849167797	1.09893638330983	1.32786357561284	0.970824434095361	2.17341698335594	2.19787276661966	2.65572715122568	1.94164886819072	0.0803650117135995	1.09493298765683
A269010002	TSC2	FALSE	29	0.946441228210388	0.950270274767191	1.06658111056834	0.848654129730133	1.89288245642078	1.90054054953438	2.13316222113667	1.69730825946027	0.0756910744853908	1.12095532961857
A269010003	CCND1	FALSE	5	0.9989608457833	1.00350886212559	1.03874774620171	0.982571664436669	1.9979216915666	2.00701772425117	2.07749549240343	1.96514332887334	0.544756802206829	0.263797338149267
A269010003	CDK4	FALSE	7	0.700540950247453	0.800342632779126	1.34854879989788	0.668256947335773	1.40108190049491	1.60068526555825	2.69709759979575	1.33651389467155	0.0740687293764904	1.13036510545657
A269010003	CREBBP	FALSE	45	0.99684121216604	0.998959573339357	1.03716337963076	0.98278547121454	1.99368242433208	1.99791914667871	2.07432675926151	1.96557094242908	0.115297462414823	0.9381802509999
A269010003	DDR2	FALSE	7	1.02282336788639	1.01370456964125	1.0332947311934	0.97927808091325	2.04564673577278	2.0274091392825	2.06658946238681	1.9585561618265	0.853607052956849	0.0687420051960677
A269010003	EGFR	FALSE	29	0.995984411471088	0.996087288687774	1.02176080824693	0.973769815268869	1.99196882294218	1.99217457737555	2.04352161649386	1.94753963053774	0.218283755210164	0.660978583507984
A269010003	ERBB2	FALSE	27	1.00701993716465	1.00564986315477	1.03996790327253	0.973937021850428	2.01403987432929	2.01129972630955	2.07993580654506	1.94787404370086	0.166214839722209	0.779330204849368
A269010003	FGFR3	FALSE	16	1.00329390560945	1.00384130074089	1.05012896755646	0.949655259074459	2.00658781121889	2.00768260148178	2.10025793511293	1.89931051814892	0.410356757523959	0.386838410464928
A269010003	GATA3	FALSE	7	0.983430023683304	0.977866605663094	1.02980170723608	0.924690933227907	1.96686004736661	1.95573321132619	2.05960341447215	1.84938186645581	0.236923482923629	0.625391891583201
A269010003	MDM2	FALSE	13	1.61363746512621	1.61619490398914	1.8287218569221	1.42133739154989	3.22727493025243	3.23238980797828	3.65744371384421	2.84267478309979	0.0843142413149017	1.07409906354718
A269010003	MET	FALSE	19	0.930641738337625	0.9348599007847	0.980932598372305	0.89527365767265	1.86128347667525	1.8697198015694	1.96186519674461	1.7905473153453	0.323258349000136	0.490450249501355
A269010003	NBN	FALSE	17	0.989529964705389	0.991436153934855	1.05176021867146	0.963056504978005	1.97905992941078	1.98287230786971	2.10352043734292	1.92611300995601	0.565766130228165	0.247363055280045
